Setor de emissão,Categoria emissora,Sub-categoria emissora,Produto ou sistema,Detalhamento,Recorte,Atividade geral,Bioma,Emissão/Remoção/Bunker,Gás,Cidade,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Asinino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),0.0567,0.0765,0.0954,0.1152,0.135,0.018000000000000002,0.0351,0.03239999999999999,0.0279,0.027,0.024300000000000002,0.0351,0.0684,0.07560000000000001,0.0765,0.07200000000000001,0.07110000000000001,0.058499999999999996,0.063,0.07379999999999999,0.0765,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.0792,0.07200000000000001,0.0792,0.09,0.09,0.09,0.09,0.09,0.09449999999999999,0.08099999999999999,0.07200000000000001,0.0684,0.063,0.045,0.045,0.045,0.045,0.0432,0.1602,0.18359999999999999,0.2061,0.22949999999999998,0.252,0.27540000000000003,0.2988,0.32130000000000003,0.34469999999999995,0.36719999999999997,0.3906,0.414
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Aves,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),1.30498,1.19472,1.0844799999999999,0.9742399999999999,13.464,9.44232,9.275419999999999,9.42718,14.4326,21.269959999999998,44.4484,39.425019999999996,37.6955,40.80742,55.033159999999995,48.0,54.400000000000006,51.0,54.0,58.39999999999999,75.7743,72.87438,71.7872,83.2966,89.14518,111.69102000000001,116.39711999999999,126.02174,119.98586,122.56511999999998,119.06533999999999,124.10878,137.0121,178.57516,195.92072,311.40286,225.01585999999998,255.83918,244.02668,161.06839999999997,147.82958,179.44374000000002,176.84,206.43911999999997,215.81658,222.90614,313.92225999999994,210.86786,168.99710000000002,147.02108000000004,186.39087999999998,191.01468,155.82172,178.78526
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Aves,Animal,Diretas,Pecuária,Cerrado,Emissão,N2O (t),Brasília (DF),0.056237970899,0.05095309499814286,0.04566873060828571,0.04038436621842857,0.36009846714285715,0.2665077710632857,0.2643659071381428,0.3014883214797143,0.6788064139999999,1.000386990114286,2.0905352474285714,1.330470571657857,1.2971533368577142,1.3681744996715712,1.7443830573808574,1.570943314285714,1.8719536,1.626212657142857,1.6814819999999997,1.802597342857143,2.487317230105714,2.298973704111857,2.419339294357857,2.742385632831428,3.0250204451028573,3.5724751113102857,3.931939555922715,3.948379576361,4.054362510748,3.8672451023171424,3.7225182065908573,3.8411274978355716,4.200116770983572,5.263405753400142,5.653772950731715,8.732540102251429,6.307308249697714,7.063005991446428,6.598381636628571,4.333038933142857,3.9874596653555705,4.732531044605571,4.847504514285713,5.696818962660572,5.952144581657999,6.081348467230142,8.547468971034716,6.007260966322,4.659227173731428,4.106176086321572,5.2817523572722855,5.4877418253585715,4.834820147790286,5.230191628159142
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Aves,Animal,Indiretas (deposição atmosférica),Pecuária,Cerrado,Emissão,N2O (t),Brasília (DF),0.30139908959600015,0.2730826587782858,0.24476827400457143,0.21645388923085718,1.4971636742857144,1.1508613005245716,1.1493532128382857,1.4044860308474287,3.7334352770000003,5.502128445628571,11.497943860857145,6.381089508545714,6.283711812959429,6.539626134429143,8.085156015237715,7.412561828571429,9.068118400000001,7.563089914285715,7.713618,8.226299085714286,11.755464678351428,10.626690770161717,11.604519149645713,13.024038565182858,14.645665851425713,16.74663013431257,18.964275568819424,18.374219298644004,19.741642390492004,18.06262805675429,17.38977026537772,17.814727361885144,19.339498021077144,23.57716562938629,24.948729679355427,37.66666819196286,27.269276650119433,30.419702528442862,28.004620801457147,18.460848632285714,17.10932828596514,20.232523873565146,20.523142828571427,24.192850124985146,25.278904972332,25.654564643406292,35.94060610336743,26.081977524988005,19.841051096082854,17.649706002129147,23.092597738860576,24.207545879377143,22.246851980332572,23.183666891622284
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Bubalino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),0.0,0.027,0.054,0.08099999999999999,0.108,0.19799999999999998,0.215,0.236,0.27599999999999997,0.25,0.43099999999999994,0.44199999999999995,0.5670000000000001,0.704,0.40299999999999997,0.27999999999999997,0.21,0.126,0.15,0.175,0.18,0.15999999999999998,0.165,0.165,0.16799999999999998,0.16999999999999998,0.032,0.034999999999999996,0.034999999999999996,0.33799999999999997,0.33999999999999997,0.5499999999999999,0.578,1.0,1.05,0.954,0.9,0.7779999999999999,0.724,0.7,0.516,0.53,0.74,0.75,0.7549999999999999,0.7859999999999999,0.895,0.9319999999999999,0.851,0.863,0.896,0.9970000000000001,0.8069999999999999,0.6169999999999999
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Caprino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),0.08551,0.11933999999999999,0.15334,0.18717,0.221,0.19992,0.23375,0.20400000000000001,0.28679,0.221,0.21114000000000002,0.22525000000000003,0.27948,0.31314000000000003,0.357,0.442,0.459,0.42500000000000004,0.51,0.578,0.595,0.35462,0.38828,0.36465,0.38964000000000004,0.42500000000000004,0.39406,0.50507,0.50507,0.58514,0.52224,0.5186700000000001,0.49300000000000005,0.4573,0.43520000000000003,0.43179999999999996,0.4386,0.3638,0.323,0.3026,0.2937600000000001,0.136,0.136,0.36754000000000003,0.4131,0.45237,0.6111500000000001,0.5127200000000001,0.5542,0.57613,0.6155700000000001,0.58242,0.5987399999999999,0.61234
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Equino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),5.08892,5.538279999999999,5.98928,6.438639999999999,6.888,4.95608,5.090559999999999,5.08728,3.8703999999999996,4.017999999999999,5.290639999999999,5.62684,8.888799999999998,9.233199999999998,10.004,11.479999999999999,11.479999999999999,12.3,12.3,13.448,13.693999999999999,13.644799999999998,13.94,13.94,15.333999999999996,15.252,10.458279999999998,10.463199999999999,10.463199999999999,10.496,10.496,10.496,10.988,10.168,9.84,9.348,8.2,11.726,11.808,11.808,11.922799999999999,11.808,19.68,28.145679999999995,30.659799999999997,33.324799999999996,34.5712,31.88488,30.982879999999998,29.403559999999995,28.96896,28.867279999999997,30.00216,30.543359999999996
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Gado de corte,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),31.176917,32.078078,32.979077,33.879867000000004,34.785141,39.905363,42.024404000000004,45.361467000000005,54.314863,57.91908899999999,64.865758,68.51905,77.010218,81.72158199999998,81.23857999999998,77.906208,89.690561,95.49306499999999,113.15005499999998,115.84606,96.86672300000001,92.086601,96.26031200000001,122.20153,105.77375199999999,102.663319,97.076053,108.328801,91.921038,100.30127700000001,103.140772,105.958994,100.581524,85.55334500000001,79.720303,91.840885,91.36337499999999,94.17047199999999,79.922505,93.290008,93.60250500000001,88.05771899999999,101.06488300000001,85.37988099999998,85.723029,87.572521,87.05949999999999,90.839314,90.89204299999999,91.173889,84.11600999999999,87.00707799999999,89.469506,85.701763
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Gado de corte,Animal,Diretas,Pecuária,Cerrado,Emissão,N2O (t),Brasília (DF),0.0188488401992,0.021147390118799993,0.023723666260799997,0.026614211549199997,0.02985922320039999,0.03349889843079999,0.037580743041599994,0.042159571418799995,0.0472975065332,0.05306032564799999,0.05952476890359998,0.06678219361,0.0749203027848,0.0840487252,0.0840487252,0.0840487252,0.21012181299999996,0.21012181299999996,0.21012181299999996,0.37821926339999995,0.37821926339999995,0.37821926339999995,0.37821926339999995,0.3361949008,0.4202436259999999,0.6303654389999999,0.8404872519999999,0.9665603397999997,0.7984628893999999,0.8825116145999999,1.1346577902,1.1305909163999999,1.1549921591999999,1.2525971303999999,1.3746033443999999,1.2363296352,1.1431416425879997,1.3244817771239996,1.5386362786079997,1.4623664810040002,1.405274645676,1.54580104932,1.558164345672,1.5720164714759997,1.6043498863919996,1.5241334529959998,1.459024571664,2.7515654756039996,2.7588363386759998,3.88029270288,2.483169486864,2.808494635979999,3.272977597296,3.0387751761839996
Agropecuária,Manejo de dejetos animais,Tratamento e disposição de dejetos animais,Gado de corte,Animal,Indiretas (deposição atmosférica),Pecuária,Cerrado,Emissão,N2O (t),Brasília (DF),0.013315793560079999,0.014939607858119998,0.01675962229392,0.01880165267508,0.021094096389959998,0.023665350826920003,0.026548976535840003,0.02978369722812,0.03341339977668001,0.037484552635199994,0.04205136899963999,0.04717838838900001,0.052927568741520006,0.05937635748000001,0.05937635748000001,0.05937635748000001,0.1484408937,0.1484408937,0.1484408937,0.26719360866,0.26719360866,0.26719360866,0.26719360866,0.23750542992000004,0.2968817874,0.44532268109999995,0.5937635748,0.6828281110200001,0.56407539606,0.62345175354,0.80158082598,0.81967841439,0.83736931542,0.9081329195400002,0.9965874246900002,0.8963389855199999,0.8287776908762999,0.9602492884149,1.1155113019908,1.0602156987279001,1.0188241181150999,1.1207057607570001,1.1296691506122003,1.1397119418200998,1.1631536676341998,1.1049967534221001,1.0577928144564,1.9948849698128999,2.0001563455400997,2.813212209588,1.8002978779764003,2.0361586110854994,2.3729087580396007,2.2031120027334006
